"papel","segmento","cotacao","ffo_yield","dividend_yield","p_vp","valor_de_mercado","liquidez","qtd_de_imoveis","preco_do_m2","aluguel_por_m2","cap_rate","vacancia_media","endereco","data_atualizacao"
"BLCA11","Lajes Corporativas",109.43,5.99,5.84,0.77,175088000,1174,1,41725.7,3032.21,7.27,0,"Avenida Brigadeiro Faria Lima, 3477, Itaim Bibi, Sao Paulo/SP, Brasil, 04538-133","2023-04-13 00:29:07"
"BLCP11","Logística",91,5.41,3.87,0.81,208962000,0,2,3014.16,199.89,6.63,0,"Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 37640-000,Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,24, Cabreuva/SP, Brasil, 13315-000","2023-04-13 00:29:07"
"BLMC11","Títulos e Val. Mob.",71.02,13.98,16.16,0.74,28372500,13112,0,0,0,0,0,"","2023-04-13 00:29:07"
"BLMG11","Outros",61.49,14.12,15.21,0.65,234313000,467351,1,276.22,57.32,20.75,0,"Cidade de Jandira, Comarca de Barueri, Estado de São Paulo.","2023-04-13 00:29:07"
"BLMO11","Lajes Corporativas",20999,1.34,1.79,0.63,79733200,41510,1,12359.2,461.89,3.74,0,"Av. das Nações Unidas, nº 12.901, São Paulo - SP","2023-04-13 00:29:07"
"BLMR11","Títulos e Val. Mob.",6.1,15.89,14,0.81,155804000,341023,0,0,0,0,0,"","2023-04-13 00:29:07"
"BLUR11","Títulos e Val. Mob.",101,0.77,12.11,1,9090000,3255,0,0,0,0,0,"","2023-04-13 00:29:07"
"BMLC11","Híbrido",104.31,8.58,8.56,0.92,104144000,20466,2,14085.8,1263.19,8.97,0,"Rua Joaquim Floriano, 466, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 04534-002,Rua Lauro Muller, 116, 21º, 27º, 28º E 40º Andares, Botafogo, Rio De Janeiro/RJ, Brasil, 22290-160","2023-04-13 00:29:07"
"BNFS11","Outros",111.35,14.91,15.44,1.22,77945000,73556,18,7167.62,1281.15,17.87,0,"Av. Assis Brasil, 657 - Arroio do Sal-RS,Rua Moreira Paz 591 - Vacaria-RS,Av. Tomaz Edison, 2615 - Sao Leopoldo-RS,Av. Flores da Cunha, 175 - Santa Rosa-RS,Av. Padre Claret 1104 - Esteio-RS,Av. Atlantica, 537 - Rio Grande,RS,Av. Cecilio Monza, 10827 - Porto Alegre-RS,Av do Forte, 1128 - Porto Alegre-RS,Rua Maranhao 280 - Santa Maria-RS,Av. Julio de Castillhos, 303 - Sao Gabriel-RS,Rua Odorico Mosmann, 257 - Parobe-RS,Av. Venancio Aires, 1745 - Cruz Alta-RS,Av. Joao Pereira de Vargas, 1460 - Sapucaia do Sul-RS,Rua Osvaldo Aranha, 2396 - Taquari-RS,Av. 20 de Setembro, 3755 - Sapiranga-RS,Rua Baltazar Brum, 320 - Quarai-RS,Rua Jose Do Patrocinio, 165 - General Camara-RS,Rua Henrique Bier, 1125 - Sao Leopoldo-RS","2023-04-13 00:29:07"
"BPFF11","Outros",57.8,20.42,13.81,0.81,259656000,353828,0,0,0,0,0,"","2023-04-13 00:29:07"
